,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,297.15,78,20,2.06,ZA,1616248640
1,hohhot,40.8106,111.6522,270.15,54,20,7.0,CN,1616248561
2,buin,-33.7333,-70.75,293.71,71,0,1.61,CL,1616248859
3,atuona,-9.8,-139.0333,299.65,75,58,4.87,PF,1616248582
4,grand gaube,-20.0064,57.6608,300.93,81,1,3.13,MU,1616248859
5,cape town,-33.9258,18.4232,295.37,56,20,11.83,ZA,1616248605
6,vagur,61.4732,-6.8119,279.78,81,0,10.38,FO,1616248860
7,albany,42.6001,-73.9662,277.04,31,0,3.34,US,1616248860
8,karasburg,-28.0167,18.75,301.77,32,95,3.56,NA,1616248818
9,svetlaya,46.5389,138.3297,271.92,91,100,2.74,RU,1616248861
10,provideniya,64.3833,-173.3,254.75,83,100,7.3,RU,1616248632
11,da nang,16.0678,108.2208,300.15,83,40,3.09,VN,1616248695
12,palmer,42.1584,-72.3287,276.48,55,20,3.17,US,1616248601
13,suriapet,17.15,79.6167,304.13,24,18,2.0,IN,1616248862
14,ayios thomas,38.2814,23.5882,288.71,76,75,2.06,GR,1616248862
15,khatanga,71.9667,102.5,235.51,98,74,3.79,RU,1616248590
16,ewa beach,21.3156,-158.0072,295.15,73,1,1.54,US,1616248648
17,muyezerskiy,63.9333,31.65,270.96,91,99,5.05,RU,1616248863
18,surt,31.2089,16.5887,296.11,44,0,3.91,LY,1616248863
19,alakurtti,66.9672,30.3491,273.71,73,96,0.45,RU,1616248864
20,nanortalik,60.1432,-45.2371,275.07,98,100,7.03,GL,1616248865
21,barrow,71.2906,-156.7887,246.15,69,1,2.06,US,1616248579
22,palembang,-2.9167,104.7458,297.15,94,20,1.03,ID,1616248804
23,mangan,27.5167,88.5333,292.87,65,100,2.02,IN,1616248867
24,baykit,61.67,96.37,256.73,90,88,2.24,RU,1616248869
25,lebu,-37.6167,-73.65,288.95,68,100,4.78,CL,1616248587
26,yumen,40.2833,97.2,273.48,15,99,5.35,CN,1616248688
27,rikitea,-23.1203,-134.9692,299.44,76,96,4.2,PF,1616248583
28,isangel,-19.55,169.2667,297.8,84,100,4.12,VU,1616248737
29,hobart,-42.8794,147.3294,290.15,55,90,5.66,AU,1616248601
30,burns lake,54.2331,-125.7533,270.15,86,0,3.09,CA,1616248870
31,kabanjahe,3.1001,98.4908,301.15,89,40,0.38,ID,1616248871
32,busselton,-33.65,115.3333,295.93,71,0,3.58,AU,1616248597
33,blackwater,-23.5833,148.8833,295.7,86,100,5.08,AU,1616248871
34,bluff,-46.6,168.3333,285.37,91,85,2.24,NZ,1616248609
35,port alfred,-33.5906,26.891,297.41,77,31,7.71,ZA,1616248592
36,vostok,46.4856,135.8833,268.13,95,100,2.05,RU,1616248872
37,mar del plata,-38.0023,-57.5575,290.93,88,90,2.06,AR,1616248667
38,biryusinsk,55.9634,97.8235,270.42,86,100,1.83,RU,1616248873
39,dikson,73.5069,80.5464,242.66,91,93,8.69,RU,1616248711
40,inongo,-1.95,18.2667,296.71,85,100,2.23,CD,1616248873
41,aksarka,66.5606,67.7975,248.67,96,100,4.05,RU,1616248874
42,chokurdakh,70.6333,147.9167,249.59,97,100,1.14,RU,1616248626
43,tuatapere,-46.1333,167.6833,285.37,92,78,1.79,NZ,1616248874
44,ulladulla,-35.35,150.4667,294.26,100,75,3.6,AU,1616248874
45,asau,46.4333,26.4,275.93,49,91,0.62,RO,1616248704
46,sur,22.5667,59.5289,305.0,32,0,2.94,OM,1616248334
47,vaini,-21.2,-175.2,298.15,94,20,1.54,TO,1616248579
48,codrington,-38.2667,141.9667,289.82,80,100,3.78,AU,1616248724
49,kununurra,-15.7667,128.7333,298.15,100,90,1.47,AU,1616248876
